vid;vtype;upstream
v0;src;
v1;bf;v0
v2;lpr;v1
v3;eqh;v1
v5;clahe;v1
v4;lpr;v3
v6;lpr;v5
v7;eqh;v0
v8;lpr;v7
v9;clahe;v0
v10;lpr;v9
v12;seg;v8,v10
v11;seg;v2,v4,v6
v13;fib;v12
v14;bf;v0
v15;lpr;v14
v16;eqh;v14
v18;clahe;v14
v17;lpr;v16
v19;lpr;v18
v20;eqh;v0
v21;lpr;v20
v22;clahe;v0
v23;lpr;v22
v25;seg;v21,v23
v24;seg;v15,v17,v19
v26;fib;v25
v27;bf;v0
v28;lpr;v27
v29;eqh;v27
v31;clahe;v27
v30;lpr;v29
v32;lpr;v31
v33;eqh;v0
v34;lpr;v33
v35;clahe;v0
v36;lpr;v35
v38;seg;v34,v36
v37;seg;v28,v30,v32
v39;fib;v38
v40;bf;v0
v41;lpr;v40
v42;eqh;v40
v44;clahe;v40
v43;lpr;v42
v45;lpr;v44
v46;eqh;v0
v47;lpr;v46
v48;clahe;v0
v49;lpr;v48
v51;seg;v47,v49
v50;seg;v41,v43,v45
v52;fib;v51
v53;bf;v0
v54;lpr;v53
v55;eqh;v53
v57;clahe;v53
v56;lpr;v55
v58;lpr;v57
v59;eqh;v0
v60;lpr;v59
v61;clahe;v0
v62;lpr;v61
v64;seg;v60,v62
v63;seg;v54,v56,v58
v65;fib;v64
v66;bf;v0
v67;lpr;v66
v68;eqh;v66
v70;clahe;v66
v69;lpr;v68
v71;lpr;v70
v72;eqh;v0
v73;lpr;v72
v74;clahe;v0
v75;lpr;v74
v77;seg;v73,v75
v76;seg;v67,v69,v71
v78;fib;v77
v79;bf;v0
v80;lpr;v79
v81;eqh;v79
v83;clahe;v79
v82;lpr;v81
v84;lpr;v83
v85;eqh;v0
v86;lpr;v85
v87;clahe;v0
v88;lpr;v87
v90;seg;v86,v88
v89;seg;v80,v82,v84
v91;fib;v90
v92;bf;v0
v93;lpr;v92
v94;eqh;v92
v96;clahe;v92
v95;lpr;v94
v97;lpr;v96
v98;eqh;v0
v99;lpr;v98
v100;clahe;v0
v101;lpr;v100
v103;seg;v99,v101
v102;seg;v93,v95,v97
v104;fib;v103
v105;bf;v0
v106;lpr;v105
v107;eqh;v105
v109;clahe;v105
v108;lpr;v107
v110;lpr;v109
v111;eqh;v0
v112;lpr;v111
v113;clahe;v0
v114;lpr;v113
v116;seg;v112,v114
v115;seg;v106,v108,v110
v117;fib;v116
v118;snk;v11,v13,v24,v26,v37,v39,v50,v52,v63,v65,v76,v78,v89,v91,v102,v104,v115,v117
