node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node1;v3;eqh;v1;1;200
node1;v5;clahe;v1;1;200
node1;v4;lpr;v3,v5;1;200
node1;v6;eqh;v0;1;200
node1;v7;lpr;v6,v8;1;200
node1;v8;clahe;v0;1;200
node1;v9;seg;v2,v4;1;200
node1;v10;seg;v7;1;200
node1;v11;fib;v10;1;200
node1;v12;bf;v0;1;200
node1;v13;lpr;v12;1;200
node1;v14;eqh;v12;1;200
node1;v16;clahe;v12;1;200
node1;v15;lpr;v14,v16;1;200
node2;v17;eqh;v0;1;200
node2;v18;lpr;v17,v19;1;200
node2;v19;clahe;v0;1;200
node1;v20;seg;v13,v15;1;200
node2;v21;seg;v18;1;200
node2;v22;fib;v21;1;200
node8;v23;snk;v9,v11,v20,v22;1;200
