node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node7;v2;lpr;v1;1;200
node2;v3;eqh;v0;1;200
node3;v4;lpr;v3;1;200
node2;v5;clahe;v0;1;200
node4;v6;lpr;v5;1;200
node6;v7;seg;v2,v4,v6;1;200
node6;v8;fib;v7;1;200
node3;v9;bf;v0;1;200
node5;v10;lpr;v9;1;200
node4;v11;eqh;v0;1;200
node6;v12;lpr;v11;1;200
node4;v13;clahe;v0;1;200
node1;v14;lpr;v13;1;200
node2;v15;seg;v10,v12,v14;1;200
node2;v16;fib;v15;1;200
node5;v17;bf;v0;1;200
node2;v18;lpr;v17;1;200
node6;v19;eqh;v0;1;200
node7;v20;lpr;v19;1;200
node6;v21;clahe;v0;1;200
node1;v22;lpr;v21;1;200
node3;v23;seg;v18,v20,v22;1;200
node2;v24;fib;v23;1;200
node7;v25;bf;v0;1;200
node3;v26;lpr;v25;1;200
node1;v27;eqh;v0;1;200
node4;v28;lpr;v27;1;200
node2;v29;clahe;v0;1;200
node5;v30;lpr;v29;1;200
node6;v31;seg;v26,v28,v30;1;200
node6;v32;fib;v31;1;200
node8;v33;snk;v8,v16,v24,v32;1;200
