node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node1;v2;lpr;1;v1;1;200
node1;v3;eqh;1;v1;1;200
node2;v4;lpr;1;v3;1;200
node1;v5;clahe;1;v1;1;200
node3;v6;lpr;1;v5;1;200
node4;v7;fib;1;v2,v4,v6;1;200
node1;v8;bf;1;v0;1;200
node1;v9;lpr;1;v8;1;200
node2;v10;eqh;1;v8;1;200
node5;v11;lpr;1;v10;1;200
node2;v12;clahe;1;v8;1;200
node5;v13;lpr;1;v12;1;200
node4;v14;fib;1;v9,v11,v13;1;200
node2;v15;bf;1;v0;1;200
node2;v16;lpr;1;v15;1;200
node2;v17;eqh;1;v15;1;200
node4;v18;lpr;1;v17;1;200
node2;v19;clahe;1;v15;1;200
node4;v20;lpr;1;v19;1;200
node5;v21;fib;1;v16,v18,v20;1;200
node2;v22;bf;1;v0;1;200
node2;v23;lpr;1;v22;1;200
node1;v24;eqh;1;v22;1;200
node6;v25;lpr;1;v24;1;200
node1;v26;clahe;1;v22;1;200
node6;v27;lpr;1;v26;1;200
node1;v28;fib;1;v23,v25,v27;1;200
node3;v29;bf;1;v0;1;200
node3;v30;lpr;1;v29;1;200
node3;v31;eqh;1;v29;1;200
node5;v32;lpr;1;v31;1;200
node3;v33;clahe;1;v29;1;200
node1;v34;lpr;1;v33;1;200
node6;v35;fib;1;v30,v32,v34;1;200
node3;v36;bf;1;v0;1;200
node3;v37;lpr;1;v36;1;200
node3;v38;eqh;1;v36;1;200
node7;v39;lpr;1;v38;1;200
node3;v40;clahe;1;v36;1;200
node7;v41;lpr;1;v40;1;200
node6;v42;fib;1;v37,v39,v41;1;200
node8;v43;snk;1;v7,v14,v21,v28,v35,v42;1;200
