node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node2;v2;lpr;1;v1;1;200
node1;v3;eqh;1;v1;1;200
node4;v5;clahe;1;v1;1;200
node5;v4;lpr;1;v3;1;200
node5;v6;lpr;1;v5;1;200
node1;v7;eqh;1;v0;1;200
node3;v8;lpr;1;v7;1;200
node1;v9;clahe;1;v0;1;200
node1;v10;lpr;1;v9;1;200
node7;v12;seg;1;v8,v10;1;200
node6;v11;seg;1;v2,v4,v6;1;200
node3;v13;fib;1;v12;1;200
node1;v14;bf;1;v0;1;200
node2;v15;lpr;1;v14;1;200
node4;v16;eqh;1;v14;1;200
node4;v18;clahe;1;v14;1;200
node7;v17;lpr;1;v16;1;200
node7;v19;lpr;1;v18;1;200
node2;v20;eqh;1;v0;1;200
node3;v21;lpr;1;v20;1;200
node2;v22;clahe;1;v0;1;200
node1;v23;lpr;1;v22;1;200
node6;v25;seg;1;v21,v23;1;200
node7;v24;seg;1;v15,v17,v19;1;200
node6;v26;fib;1;v25;1;200
node2;v27;bf;1;v0;1;200
node1;v28;lpr;1;v27;1;200
node4;v29;eqh;1;v27;1;200
node5;v31;clahe;1;v27;1;200
node6;v30;lpr;1;v29;1;200
node3;v32;lpr;1;v31;1;200
node2;v33;eqh;1;v0;1;200
node4;v34;lpr;1;v33;1;200
node3;v35;clahe;1;v0;1;200
node4;v36;lpr;1;v35;1;200
node7;v38;seg;1;v34,v36;1;200
node6;v37;seg;1;v28,v30,v32;1;200
node7;v39;fib;1;v38;1;200
node3;v40;bf;1;v0;1;200
node4;v41;lpr;1;v40;1;200
node5;v42;eqh;1;v40;1;200
node5;v44;clahe;1;v40;1;200
node7;v43;lpr;1;v42;1;200
node4;v45;lpr;1;v44;1;200
node3;v46;eqh;1;v0;1;200
node2;v47;lpr;1;v46;1;200
node3;v48;clahe;1;v0;1;200
node5;v49;lpr;1;v48;1;200
node2;v51;seg;1;v47,v49;1;200
node5;v50;seg;1;v41,v43,v45;1;200
node5;v52;fib;1;v51;1;200
node8;v53;snk;1;v11,v13,v24,v26,v37,v39,v50,v52;1;200
