node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node1;v2;lpr;1;v1;1;200
node1;v3;eqh;1;v1;1;200
node1;v4;lpr;1;v3;1;200
node1;v5;clahe;1;v1;1;200
node1;v6;lpr;1;v5;1;200
node1;v7;fib;1;v2,v4,v6;1;200
node2;v8;bf;1;v0;1;200
node2;v9;lpr;1;v8;1;200
node2;v10;eqh;1;v8;1;200
node2;v11;lpr;1;v10;1;200
node2;v12;clahe;1;v8;1;200
node2;v13;lpr;1;v12;1;200
node2;v14;fib;1;v9,v11,v13;1;200
node3;v15;bf;1;v0;1;200
node3;v16;lpr;1;v15;1;200
node3;v17;eqh;1;v15;1;200
node3;v18;lpr;1;v17;1;200
node3;v19;clahe;1;v15;1;200
node3;v20;lpr;1;v19;1;200
node3;v21;fib;1;v16,v18,v20;1;200
node8;v22;snk;1;v7,v14,v21;1;200
