node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node3;v1;bf;v0;1;200
node3;v2;lpr;v1;1;200
node2;v3;eqh;v0;1;200
node2;v4;lpr;v3;1;200
node2;v5;clahe;v0;1;200
node2;v6;lpr;v5;1;200
node2;v7;seg;v2,v4,v6;1;200
node2;v8;fib;v7;1;200
node2;v9;bf;v0;1;200
node2;v10;lpr;v9;1;200
node2;v11;eqh;v0;1;200
node2;v12;lpr;v11;1;200
node1;v13;clahe;v0;1;200
node1;v14;lpr;v13;1;200
node1;v15;seg;v10,v12,v14;1;200
node1;v16;fib;v15;1;200
node1;v17;bf;v0;1;200
node1;v18;lpr;v17;1;200
node1;v19;eqh;v0;1;200
node1;v20;lpr;v19;1;200
node1;v21;clahe;v0;1;200
node1;v22;lpr;v21;1;200
node1;v23;seg;v18,v20,v22;1;200
node1;v24;fib;v23;1;200
node8;v25;snk;v8,v16,v24;1;200
