node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node7;v2;lpr;v1;1;200
node2;v3;eqh;v0;1;200
node3;v4;lpr;v3;1;200
node2;v5;clahe;v0;1;200
node4;v6;lpr;v5;1;200
node1;v7;fib;v2,v4,v6;1;200
node3;v8;bf;v0;1;200
node1;v9;lpr;v8;1;200
node4;v10;eqh;v0;1;200
node2;v11;lpr;v10;1;200
node4;v12;clahe;v0;1;200
node5;v13;lpr;v12;1;200
node6;v14;fib;v9,v11,v13;1;200
node5;v15;bf;v0;1;200
node6;v16;lpr;v15;1;200
node6;v17;eqh;v0;1;200
node7;v18;lpr;v17;1;200
node6;v19;clahe;v0;1;200
node2;v20;lpr;v19;1;200
node3;v21;fib;v16,v18,v20;1;200
node8;v22;snk;v7,v14,v21;1;200
