idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
95,3,300,5,625,316.681427,338.381672,270,15,15,0
95,1,270,7,655,296.866077,319.780326,270,0,0,0
95,4,355,4,570,304.767343,355.651069,25,35,270,25
96,1,270,5,620,297.990810,324.946165,270,0,0,0
96,2,305,4,585,316.729476,341.416287,270,35,0,0
96,3,315,3,575,352.576495,374.262834,20,25,270,0
97,1,270,7,670,298.593545,322.307325,270,0,0,0
97,3,305,5,635,321.286631,361.571121,20,270,15,0
97,4,365,4,575,335.088373,375.304603,25,270,35,35
98,2,295,3,575,309.765704,334.412122,270,25,0,0
98,2,305,3,565,316.163623,341.625952,270,35,0,0
98,1,270,4,600,296.927563,322.036695,270,0,0,0
99,2,285,4,570,324.263356,346.955728,15,270,0,0
99,2,285,4,570,323.045815,348.833490,15,270,0,0
99,2,285,4,570,307.269751,334.474015,270,15,0,0
100,2,305,5,585,306.969792,331.508971,35,270,0,0
100,3,300,4,590,313.025522,337.126994,270,15,15,0
100,2,285,5,605,245.635651,357.275939,15,270,0,0
101,2,50,4,315,71.930568,76.853896,35,15,0,0
101,3,300,3,65,250.814154,352.586460,15,15,270,0
101,1,15,5,350,38.518275,43.893409,15,0,0,0
102,4,100,5,145,129.794238,145.578909,20,25,35,20
102,1,35,8,210,56.308376,64.726734,35,0,0,0
102,4,110,5,135,128.986543,144.790197,35,15,25,35
103,2,290,5,335,302.659534,327.057480,270,20,0,0
103,1,270,6,355,290.505197,314.233875,270,0,0,0
103,4,65,3,560,102.571208,118.770003,15,15,20,15
104,1,270,4,80,287.986054,313.160825,270,0,0,0
104,1,15,4,335,36.331245,42.218614,15,0,0,0
104,3,65,2,285,89.381914,96.035671,15,35,15,0
105,1,20,5,340,45.558879,51.045036,20,0,0,0
105,1,15,5,345,37.011060,43.136096,15,0,0,0
105,4,325,2,35,324.536252,352.322483,270,20,20,15
106,2,305,7,415,317.074637,344.120336,270,35,0,0
106,3,320,6,400,321.591188,344.341945,35,270,15,0
106,4,95,5,625,123.607848,141.426730,15,25,35,20
107,2,50,4,580,68.488355,74.289060,35,15,0,0
107,3,310,3,320,312.722566,338.409424,270,25,15,0
107,1,270,5,360,290.828525,315.160179,270,0,0,0
108,2,290,3,85,300.184174,324.808216,270,20,0,0
108,2,50,3,325,69.076386,75.366664,35,15,0,0
108,1,35,4,340,53.507100,58.662057,35,0,0,0
109,3,65,6,385,94.117098,104.556799,15,15,35,0
109,2,60,7,390,83.026688,93.270135,25,35,0,0
109,4,325,5,125,327.429891,356.852365,15,25,270,15
110,2,35,4,335,67.240926,78.303647,20,15,0,0
110,2,50,4,320,75.432222,83.408141,25,25,0,0
110,2,285,4,85,311.854681,334.874630,15,270,0,0
111,3,60,7,415,94.779118,110.749698,25,20,15,0
111,4,100,6,375,118.991462,135.740900,25,35,25,15
111,3,315,7,160,315.755855,343.007445,270,20,25,0
112,3,80,4,335,101.055192,115.646029,35,20,25,0
112,1,15,6,400,34.304832,37.622142,15,0,0,0
112,3,320,4,95,318.929127,341.661548,270,25,25,0
113,3,300,4,75,309.782664,337.723255,270,15,15,0
113,1,15,6,360,34.446559,37.449026,15,0,0,0
113,3,60,4,315,89.178660,102.174902,25,15,20,0
114,3,75,4,320,97.892123,106.250047,35,25,15,0
114,2,290,5,105,299.652314,333.212256,20,270,0,0
114,2,30,5,365,55.907944,66.676378,15,15,0,0
115,2,285,7,430,299.386448,320.792937,270,15,0,0
115,3,85,6,630,99.369074,107.697821,35,25,25,0
115,4,345,5,370,331.464237,351.076007,270,15,25,35
116,3,300,4,80,308.326004,336.778569,270,15,15,0
116,1,20,6,360,49.164411,62.731290,20,0,0,0
116,3,60,4,320,93.165177,107.220650,20,15,25,0
117,1,20,5,100,46.162918,56.541562,20,0,0,0
117,1,25,5,95,45.640501,54.264450,25,0,0,0
117,4,75,2,45,104.059570,114.802432,15,15,25,20
118,4,325,8,425,274.788390,386.754632,15,270,25,15
118,4,95,8,655,137.024832,156.519222,20,20,20,35
118,4,330,8,420,351.172513,450.367475,20,20,270,20
119,2,40,4,340,62.087026,69.227076,25,15,0,0
119,3,325,3,55,281.265076,343.175721,35,20,270,0
119,1,15,5,365,36.003591,39.711857,15,0,0,0
120,3,95,6,140,109.294513,118.618488,35,35,25,0
120,3,65,6,170,93.958530,105.026579,15,35,15,0
120,3,75,6,160,97.348050,107.438039,25,25,25,0
121,2,305,2,60,301.144571,327.271294,35,270,0,0
121,1,25,3,340,43.378671,47.036194,25,0,0,0
121,1,35,3,330,53.568337,59.007740,35,0,0,0
122,2,30,3,65,53.895632,62.475777,15,15,0,0
122,2,40,3,55,62.350354,71.011758,25,15,0,0
122,1,25,4,70,44.070480,50.703883,25,0,0,0
123,2,285,7,395,244.349005,354.422689,15,270,0,0
123,3,50,6,630,81.532216,96.246218,15,15,20,0
123,4,345,5,335,329.919699,354.038143,270,35,20,20
124,3,65,5,365,87.144084,95.559406,25,25,15,0
124,1,25,7,405,43.937125,51.093125,25,0,0,0
124,4,340,4,90,322.112904,343.791986,35,270,20,15
125,1,25,7,140,52.088053,65.453768,25,0,0,0
125,3,50,5,115,90.535210,103.169847,20,15,15,0
125,4,90,4,75,124.747752,139.244842,20,20,25,25
126,3,65,3,320,83.634801,89.132833,35,15,15,0
126,2,305,4,80,302.749947,322.678232,35,270,0,0
126,1,15,5,370,35.638959,39.289260,15,0,0,0
127,2,290,7,390,304.469115,343.369556,20,270,0,0
127,3,310,6,370,302.389990,343.019009,25,270,15,0
127,4,80,5,600,104.530268,116.527057,25,15,15,25
128,3,65,4,335,93.275965,103.307914,15,15,35,0
128,2,30,5,370,53.611807,62.571693,15,15,0,0
128,2,305,5,95,305.859264,326.935005,35,270,0,0
129,2,45,2,60,71.428350,83.483862,20,25,0,0
129,1,35,3,70,56.704485,65.213918,35,0,0,0
129,1,25,3,80,45.537916,52.828646,25,0,0,0
130,2,285,5,335,318.748698,337.878847,15,270,0,0
130,1,15,6,605,36.454902,41.935539,15,0,0,0
130,4,320,3,300,327.416878,352.086282,270,15,15,20
131,2,30,7,675,54.007456,61.586499,15,15,0,0
131,3,320,6,385,317.684458,342.888736,270,15,35,0
131,4,355,5,350,253.688213,350.213456,35,35,15,270
132,2,305,5,615,315.837177,343.707729,270,35,0,0
132,3,310,4,610,319.737570,346.902132,270,25,15,0
132,2,305,5,615,316.744974,342.016196,270,35,0,0
133,4,75,7,170,112.800863,128.791642,15,20,15,25
133,3,85,8,160,112.348627,125.403023,35,15,35,0
133,4,85,7,160,122.868609,137.158989,20,15,15,35
134,2,285,6,135,299.977779,327.258396,270,15,0,0
134,2,40,6,380,65.540172,74.212695,25,15,0,0
134,4,95,4,325,122.842112,141.834640,15,20,25,35
135,2,285,5,355,249.248443,362.184834,15,270,0,0
135,1,20,6,620,48.714351,62.046146,20,0,0,0
135,4,335,3,305,335.182714,363.069487,270,25,20,20
136,2,40,4,105,76.035520,91.990400,20,20,0,0
136,3,70,3,75,95.494955,106.934738,35,15,20,0
136,1,35,5,110,60.289928,71.150779,35,0,0,0
137,2,285,5,370,301.210588,325.477076,270,15,0,0
137,1,35,6,620,55.058868,61.307001,35,0,0,0
137,4,335,3,320,344.672266,368.160248,15,270,25,25
138,3,330,4,115,315.824620,337.143087,35,270,25,0
138,2,60,5,385,84.427795,93.821025,25,35,0,0
138,2,55,5,390,86.040510,98.339081,20,35,0,0
139,3,325,6,105,322.992038,346.482754,270,20,35,0
139,3,60,6,370,98.699921,113.512540,15,20,25,0
139,3,45,6,385,80.176740,90.921402,15,15,15,0
140,2,35,7,425,70.909512,89.086247,20,15,0,0
140,3,90,6,370,114.014394,126.699424,35,20,35,0
140,4,335,5,125,324.606656,349.923134,270,25,15,25
141,2,50,7,145,77.399027,88.775468,25,25,0,0
141,3,60,6,135,94.352604,107.801866,25,20,15,0
141,4,85,5,110,116.221442,129.847908,25,20,25,15
142,2,50,7,395,72.332749,83.991861,35,15,0,0
142,3,60,6,385,91.926304,101.993180,25,20,15,0
142,4,335,5,110,310.391649,352.284884,25,270,20,20
143,2,285,6,390,246.367902,353.858947,15,270,0,0
143,2,35,6,640,69.991418,82.454395,20,15,0,0
143,4,355,4,320,236.007562,362.597871,35,15,270,35
144,3,70,7,420,102.980651,119.714093,20,35,15,0
144,4,100,6,390,117.512962,134.340096,25,35,15,25
144,3,320,7,170,309.747175,331.046867,35,270,15,0
145,2,70,7,410,90.517672,100.372696,35,35,0,0
145,3,340,6,140,318.527807,340.402723,35,270,35,0
145,4,70,5,410,98.386508,108.994294,15,25,15,15
146,2,50,2,30,71.984606,77.953983,15,35,0,0
146,1,15,3,65,36.650733,42.528653,15,0,0,0
146,1,15,3,65,37.662748,41.887474,15,0,0,0
147,2,30,2,295,52.626698,57.537604,15,15,0,0
147,1,25,3,300,42.931788,47.393608,25,0,0,0
147,1,270,3,55,289.747587,316.443181,270,0,0,0
148,3,75,5,335,99.768345,108.282447,15,25,35,0
148,1,15,7,395,36.896288,43.411302,15,0,0,0
148,4,320,4,90,333.392729,358.176637,15,270,15,20
149,2,35,2,285,62.783189,70.334554,20,15,0,0
149,1,270,3,50,293.004938,317.325354,270,0,0,0
149,1,15,3,305,40.039757,44.361949,15,0,0,0
150,2,40,8,440,79.684430,96.431708,20,20,0,0
150,4,95,6,385,122.285651,137.674832,25,35,20,15
150,4,345,6,135,331.454056,373.500014,20,35,20,270
151,1,15,6,140,34.422555,40.077567,15,0,0,0
151,2,50,5,105,78.988334,88.583136,15,35,0,0
151,4,90,3,65,119.878328,132.912087,15,20,20,35
152,3,50,7,130,94.644535,113.338280,15,20,15,0
152,4,70,6,110,120.030177,135.791135,20,15,20,15
152,3,60,7,120,100.682949,116.068172,25,20,15,0
153,2,285,6,140,248.235373,355.003166,15,270,0,0
153,3,55,5,370,100.234064,115.455651,20,15,20,0
153,3,85,5,340,112.912090,125.015783,25,25,35,0
154,3,50,5,370,86.099077,100.025391,15,15,20,0
154,3,300,5,120,247.599456,352.260160,15,15,270,0
154,2,70,6,350,91.742171,101.162028,35,35,0,0
155,2,45,3,80,77.354864,86.690522,20,25,0,0
155,2,55,3,70,77.565306,86.667657,35,20,0,0
155,1,25,4,100,45.589315,53.503156,25,0,0,0
156,3,320,5,365,316.485235,343.636179,35,270,15,0
156,1,20,7,665,44.566454,53.409910,20,0,0,0
156,4,345,4,340,338.666745,363.953590,270,20,35,20
157,2,305,3,85,301.694014,321.965552,35,270,0,0
157,2,50,3,340,73.847656,79.339385,35,15,0,0
157,1,35,4,355,54.910870,61.276341,35,0,0,0
158,3,315,5,365,321.771125,348.933839,270,20,25,0
158,1,15,7,665,35.437289,39.487195,15,0,0,0
158,4,350,4,330,301.081146,355.078626,25,35,270,20
159,1,25,6,630,46.982467,52.890802,25,0,0,0
159,2,290,5,365,306.614071,332.661271,270,20,0,0
159,4,340,3,315,273.856710,375.863004,15,20,35,270
160,3,65,5,120,94.784688,101.607084,15,35,15,0
160,1,20,7,165,46.146673,57.147360,20,0,0,0
160,4,100,4,85,115.635865,125.714850,35,15,35,15
161,3,305,8,395,313.143257,351.221299,20,270,15,0
161,4,325,7,375,288.745712,397.085357,20,20,15,270
161,4,70,7,630,106.846682,125.825477,15,15,15,25
162,1,15,5,355,34.975042,37.575841,15,0,0,0
162,2,285,4,85,298.555387,325.200772,270,15,0,0
162,3,70,3,300,93.006039,104.111194,35,15,20,0
163,2,45,2,40,67.345577,77.448320,25,20,0,0
163,1,25,3,60,44.051585,48.488807,25,0,0,0
163,1,15,3,70,34.144133,37.715769,15,0,0,0
164,2,285,3,70,297.659169,322.789049,270,15,0,0
164,2,35,3,320,66.199671,79.881310,15,20,0,0
164,1,35,4,320,56.620880,65.901780,35,0,0,0
165,3,320,6,385,309.955639,356.730175,25,270,25,0
165,2,40,7,665,63.666455,69.937467,25,15,0,0
165,4,345,5,360,329.019909,352.181936,35,270,20,20
166,3,45,2,30,71.857958,80.672074,15,15,15,0
166,1,15,4,60,36.257349,42.665410,15,0,0,0
166,1,15,4,60,35.811871,42.312360,15,0,0,0
167,2,50,3,340,78.105246,87.413048,15,35,0,0
167,2,70,3,320,89.204116,99.714065,35,35,0,0
167,1,270,4,120,287.329693,313.578534,270,0,0,0
168,3,50,3,315,83.570678,100.382495,15,15,20,0
168,2,290,4,75,297.877251,335.050344,20,270,0,0
168,1,25,5,340,49.285144,55.819035,25,0,0,0
169,2,40,6,605,62.746438,70.837330,25,15,0,0
169,3,300,5,345,250.539864,363.676024,15,15,270,0
169,3,305,5,340,331.522497,360.124206,15,270,20,0
170,3,60,2,40,81.106066,90.234518,25,15,20,0
170,1,15,4,85,35.727730,40.083170,15,0,0,0
170,1,25,4,75,42.577660,47.890139,25,0,0,0
171,3,320,7,155,265.893885,373.199821,15,270,35,0
171,3,55,7,420,101.622782,122.102976,15,20,20,0
171,4,100,6,375,125.806032,144.242382,25,25,15,35
172,2,295,3,55,304.457095,328.937721,270,25,0,0
172,2,40,3,310,64.688939,67.405844,25,15,0,0
172,1,15,4,335,32.881960,35.738087,15,0,0,0
173,2,40,7,615,62.411029,71.385026,25,15,0,0
173,3,300,6,355,253.508149,362.370658,15,270,15,0
173,4,315,5,340,334.038322,363.397193,15,15,270,15
174,2,40,5,360,65.849550,70.951533,25,15,0,0
174,1,20,6,380,47.288629,59.615016,20,0,0,0
174,4,340,3,60,331.657754,360.294366,270,20,25,25
175,3,45,3,55,75.803163,86.225629,15,15,15,0
175,1,20,5,80,47.573757,61.604309,20,0,0,0
175,2,35,4,65,66.958241,76.642681,15,20,0,0
176,2,290,5,105,306.740152,330.856061,270,20,0,0
176,1,20,6,375,48.452413,60.045576,20,0,0,0
176,4,85,3,310,117.916219,131.833434,20,15,35,15
177,2,55,3,55,77.264869,83.983516,35,20,0,0
177,2,40,3,70,66.114905,76.122475,15,25,0,0
177,1,15,4,95,37.596782,44.357920,15,0,0,0
178,4,115,5,115,128.592429,138.507342,35,25,35,20
178,1,15,8,215,34.281398,37.188912,15,0,0,0
178,4,100,5,130,118.438830,128.406167,35,35,15,15
179,2,55,5,345,84.510167,96.543885,35,20,0,0
179,1,20,6,380,48.194371,57.856655,20,0,0,0
179,4,325,3,75,321.561146,358.910346,20,270,15,20
180,2,60,3,300,78.189908,84.714174,35,25,0,0
180,2,30,3,330,52.369001,57.542157,15,15,0,0
180,1,270,4,90,290.313859,316.684127,270,0,0,0
181,2,60,4,100,82.246135,91.698408,35,25,0,0
181,1,35,5,125,55.966753,64.855099,35,0,0,0
181,3,65,3,95,97.774069,111.849045,20,25,20,0
182,2,305,8,400,310.285143,334.148812,270,35,0,0
182,4,325,6,380,270.631775,391.954493,15,15,270,25
182,4,75,6,630,113.352808,130.094862,25,15,20,15
183,1,25,6,395,43.949335,46.495128,25,0,0,0
183,3,95,4,325,106.587857,115.500474,35,35,25,0
183,3,300,4,120,308.413684,334.757399,270,15,15,0
184,4,340,5,120,269.539725,372.323608,35,20,15,270
184,1,15,8,445,35.337799,37.597751,15,0,0,0
184,4,105,5,355,122.948020,137.971401,25,20,35,25
185,2,30,7,425,55.052975,65.732288,15,15,0,0
185,3,75,6,380,93.081142,102.568746,35,15,25,0
185,4,350,5,105,332.823669,369.872308,20,270,35,25
186,2,30,2,40,52.856859,59.382820,15,15,0,0
186,1,15,3,55,33.102233,39.716339,15,0,0,0
186,1,25,3,45,44.100083,51.490307,25,0,0,0
187,4,345,5,355,318.597426,364.364886,25,25,270,25
187,1,35,8,665,53.663375,58.994007,35,0,0,0
187,4,320,5,380,269.403890,382.632995,15,15,270,20
188,3,60,4,95,91.035417,103.027892,25,20,15,0
188,1,20,6,135,47.126268,60.052848,20,0,0,0
188,3,75,4,80,102.694420,114.717197,15,25,35,0
189,3,70,5,105,98.491485,109.781957,15,35,20,0
189,1,25,7,150,44.560862,50.828194,25,0,0,0
189,4,80,4,95,111.732602,120.521593,15,15,15,35
190,3,310,7,650,334.937304,359.931517,15,270,25,0
190,4,340,6,620,281.610661,394.006109,15,270,20,35
190,3,310,7,650,329.156342,357.880163,15,25,270,0
191,1,270,5,375,290.839512,315.404844,270,0,0,0
191,4,360,2,285,342.597872,366.674280,270,20,35,35
191,1,15,5,630,35.054046,40.833378,15,0,0,0
192,2,295,7,390,305.662600,331.927013,270,25,0,0
192,3,55,6,630,80.121703,88.604927,15,15,25,0
192,4,335,5,350,327.171528,355.536556,270,35,15,15
193,3,320,4,105,217.972052,343.263292,35,15,270,0
193,2,35,5,390,66.883851,83.113647,20,15,0,0
193,2,70,5,355,92.475030,103.640485,35,35,0,0
194,1,15,6,175,33.673581,36.601353,15,0,0,0
194,2,50,5,140,70.827754,77.176762,35,15,0,0
194,4,125,3,65,131.975313,146.627473,35,35,35,20
195,3,325,2,35,319.701440,344.060254,270,35,20,0
195,1,15,4,345,39.715444,47.149634,15,0,0,0
195,1,20,4,340,43.430303,51.164603,20,0,0,0
196,2,30,3,55,61.634884,71.606826,15,15,0,0
196,2,35,3,50,64.074687,73.528934,15,20,0,0
196,1,20,4,65,49.579160,65.805221,20,0,0,0
197,2,305,4,95,310.291802,336.614132,270,35,0,0
197,1,35,5,365,58.815060,67.972875,35,0,0,0
197,3,60,3,340,105.839907,126.218199,20,20,20,0
198,3,305,2,305,313.155344,342.851115,270,15,20,0
198,1,35,4,575,56.073071,60.188866,35,0,0,0
198,1,270,4,340,290.977412,318.225551,270,0,0,0
199,3,50,7,440,87.592039,102.856827,15,20,15,0
199,3,75,7,415,113.552395,134.160566,20,35,20,0
199,4,365,6,125,340.685587,359.584283,35,270,35,25
200,3,75,7,660,99.780529,112.989235,15,35,25,0
200,4,345,6,390,323.667686,359.106350,20,35,270,20
200,3,315,7,420,326.474273,367.362476,25,20,270,0
201,1,20,2,30,44.068518,51.876426,20,0,0,0
201,1,15,2,35,38.047421,46.395540,15,0,0,0
201,1,15,2,35,38.620753,45.957375,15,0,0,0
202,2,295,6,385,293.085175,336.391043,25,270,0,0
202,3,55,5,625,92.867409,111.261916,15,20,20,0
202,3,330,5,350,317.283145,342.013049,35,270,25,0
203,2,295,5,610,298.376309,339.081359,25,270,0,0
203,1,270,6,635,299.117552,326.701498,270,0,0,0
203,4,340,3,565,332.837926,351.714849,35,270,20,15
204,2,30,3,45,54.151599,62.343931,15,15,0,0
204,2,30,3,45,56.897967,64.044118,15,15,0,0
204,1,15,4,60,35.291760,43.267012,15,0,0,0
205,3,75,6,145,95.992826,106.715726,35,25,15,0
205,2,35,7,185,65.961738,77.778864,15,20,0,0
205,4,110,5,110,127.346399,145.616150,15,25,35,35
206,2,35,8,420,73.689123,87.690091,20,15,0,0
206,4,85,6,370,118.604739,137.487531,20,15,15,35
206,4,335,6,120,325.773852,350.067329,270,25,25,15
207,1,270,6,125,286.916518,313.956356,270,0,0,0
207,2,55,5,340,85.310009,104.005408,20,35,0,0
207,4,70,3,325,101.213033,113.935828,25,15,15,15
208,2,50,7,385,70.686325,80.536008,25,25,0,0
208,3,60,6,375,89.901246,104.134250,25,15,20,0
208,4,325,5,110,259.896035,366.230536,15,15,270,25
209,1,15,4,570,38.895460,44.247532,15,0,0,0
209,1,270,4,315,295.950465,319.054937,270,0,0,0
209,3,300,2,285,328.628863,348.424101,15,270,15,0
210,3,50,8,675,86.357957,102.798462,20,15,15,0
210,4,350,7,375,349.183040,434.487605,20,35,25,270
210,4,325,7,400,337.699141,366.422105,270,20,20,15
211,2,50,5,365,73.286010,81.260133,35,15,0,0
211,1,35,6,380,57.134352,64.410781,35,0,0,0
211,4,330,3,85,324.751558,364.930248,20,270,20,20
212,2,295,6,135,302.906948,326.309228,270,25,0,0
212,2,40,6,390,62.909372,72.347569,25,15,0,0
212,4,95,4,335,117.125574,134.126472,25,35,15,20
213,2,305,8,425,308.615397,333.212996,35,270,0,0
213,4,345,6,385,341.437317,365.265488,270,20,20,35
213,4,80,6,650,107.461293,119.576883,15,15,35,15
214,2,50,8,195,80.311643,92.653084,15,35,0,0
214,4,105,6,140,132.238711,151.903581,15,20,35,35
214,4,90,6,155,125.529592,143.924045,20,15,20,35
215,3,85,3,45,105.382149,114.749718,25,25,35,0
215,1,15,5,115,34.859833,40.119863,15,0,0,0
215,2,30,4,100,55.920928,61.593533,15,15,0,0
216,2,35,7,620,70.271466,86.339736,15,20,0,0
216,3,300,6,355,254.704689,368.803477,15,270,15,0
216,4,320,5,335,326.551791,355.601263,270,15,15,20
217,2,40,6,125,66.621279,76.603222,25,15,0,0
217,3,55,5,110,82.389439,91.583776,25,15,15,0
217,3,70,5,95,101.483023,112.223768,15,20,35,0
218,1,15,5,595,35.935724,38.600898,15,0,0,0
218,4,325,2,285,327.044991,351.067042,270,15,20,20
218,1,270,5,340,293.858267,318.531394,270,0,0,0
219,3,65,5,75,94.490062,105.762959,25,20,20,0
219,1,15,7,125,35.973045,41.943932,15,0,0,0
219,4,60,4,80,93.491784,102.662897,15,15,15,15
220,1,15,5,590,37.489475,44.668770,15,0,0,0
220,4,320,2,285,290.773194,443.660903,20,15,270,15
220,1,270,5,335,294.892476,319.150233,270,0,0,0
221,2,70,7,190,92.231175,105.401445,35,35,0,0
221,3,90,6,170,118.039961,132.425212,20,35,35,0
221,4,100,5,160,119.010407,132.667542,35,35,15,15
222,3,90,7,410,110.249665,127.618408,35,35,20,0
222,3,60,7,440,96.417617,115.923834,20,15,25,0
222,4,350,6,150,320.688211,364.500618,25,270,20,35
223,2,285,8,180,301.906927,325.218963,270,15,0,0
223,4,90,6,375,120.383716,138.792396,35,20,15,20
